settings:
	Cpar Precision = 10
	Cser Precision = 10
	Acq. Frequency Start = 1.000 MHz
	Acq. Frequency Stop = 3.000 MHz
	Acq. Frequency Spacing = 0.010 MHz
	Acq. Frequency Sampling = 25.0 MHz
	S11 Optimization Frequency Start = 1.50 MHz
	S11 Optimization Frequency Stop = 2.50 MHz
	Cpar = 100 (53.0 pF)
	Cser = 100 (53.0 pF)

freq(MHz)	 S11(dB)	 Cpar(digit)	 Cser(digit)
   2.55,  -8.22,    390,    166
   2.56,  -8.74,    385,    164
   2.57,  -8.48,    385,    164
   2.58,  -7.52,    385,    154
   2.59,  -5.14,    385,    154
   2.60,  -3.31,    385,    154
   2.61,  -2.15,    385,    154
   2.62,  -1.47,    385,    154
   2.63,  -1.06,    385,    154
   2.64,  -0.82,    385,    154
   2.65,  -0.67,    385,    154
   2.66,  -0.57,    385,    154
   2.67,  -0.51,    385,    154
   2.68,  -0.48,    385,    154
   2.69,  -0.45,    385,    154
   2.70,  -0.43,    595,    398
   2.71,  -0.43,    595,    398
   2.72,  -0.42,    595,    388
   2.73,  -0.42,    595,    388
   2.74,  -0.43,    590,    416
   2.75,  -0.41,    595,    418
   2.76,  -0.42,    595,    418
   2.77,  -0.41,    595,    408
   2.78,  -0.41,    590,    416
   2.79,  -0.41,    595,    408
   2.80,  -0.41,    595,    418
   2.81,  -0.41,    595,    418
   2.82,  -0.40,    595,    388
   2.83,  -0.40,    585,    384
   2.84,  -0.39,    590,    416
   2.85,  -0.39,    590,    386
   2.86,  -0.39,    595,    408
   2.87,  -0.38,    495,    322
   2.88,  -0.38,    495,    320
   2.89,  -0.38,    490,    346
   2.90,  -0.37,    495,    305
   2.91,  -0.36,    495,    328
   2.92,  -0.37,    495,    325
   2.93,  -0.38,    500,    310
   2.94,  -0.39,    400,    207
   2.95,  -0.38,    490,    324
   2.96,  -0.38,    495,    313
   2.97,  -0.39,    495,    348
   2.98,  -0.38,    495,    324
   2.99,  -0.37,    505,    322
   3.00,  -0.38,    495,    298
